#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;;;;;;;;;;;;;;;
#[From.Religion.GetName];;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#[From.Religion.GetHighGodName];;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#[From.Religion.GetRandomGodName];;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#[From.Religion.GetRandomEvilGodName];;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#[From.Religion.GetPriestTitle];;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#[From.Religion.GetScriptureName];;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#[From.Religion.GetPietyName];;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#[From.Religion.GetCrusadeName];;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#[From.Society.GetName];;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#[From.GetSocietyRank];;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#[From.GetFirstName];;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#[From.GetTitledFirstName];;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#knights_templar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
society_knights_templar;The Knights Templar;Les Templiers;;;;;;;;;;;;x;;;;;;;;;;;;;;;
society_knights_templar_desc;A Christian military order that was founded by a small group of eight wealthy knights. The Poor Fellow-Soldiers of Christ and of the Temple of Solomon - or the Knights Templar for short - have sworn to protect pilgrims traveling through the Holy Land. The order was fully endorsed by the [From.Religion.GetName] church at the council of Troyes, and this will allow pious [From.Religion.GetName] rulers to call on their aid.;Un ordre militaire chrétien fondé par un petit groupe de huit riches chevaliers. Les pauvres camarades soldats du Christ et du Temple de Salomon - ou les Templiers en abrégé - ont juré de protéger les pèlerins qui voyagent en Terre Sainte. L'Ordre a été entièrement approuvé par l'église de [From.Religion.GetName] lors du concile de Troyes, ce qui permettra à la pieuse [From.Religion.GetName] de faire appel à leur aide.;;;;;;;;;;;;x;;;;;;;;;;;;;;;
society_knights_templar_leader_desc;The Grand Master of the Knights Templar.;Le Grand Maître des Templiers.;;;;;;;;;;;;x;;;;;;;;;;;;;;;
society_knights_templar_rank_1_female;Adjutante;Adjudante;;;;;;;;;;;;x;;;;;;;;;;;;;;;
society_knights_templar_rank_2_female;Dame;Dame;;;;;;;;;;;;x;;;;;;;;;;;;;;;
society_knights_templar_rank_3_female;Prioress;Prieure;;;;;;;;;;;;x;;;;;;;;;;;;;;;
society_knights_templar_rank_4_female;Mother Superior;Mère supérieure;;;;;;;;;;;;x;;;;;;;;;;;;;;;
society_knights_templar_rank_1_male;Sergeant;Sergent;;;;;;;;;;;;x;;;;;;;;;;;;;;;
society_knights_templar_rank_2_male;Knight;Chevalier;;;;;;;;;;;;x;;;;;;;;;;;;;;;
society_knights_templar_rank_3_male;Prior;Prieur;;;;;;;;;;;;x;;;;;;;;;;;;;;;
society_knights_templar_rank_4_male;Grand Master;Grand Maître;;;;;;;;;;;;x;;;;;;;;;;;;;;;
#knights_hospitaller;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
society_knights_hospitaller;The Knights Hospitaller;Ordre de Saint-Jean de Jérusalem;;;;;;;;;;;;x;;;;;;;;;;;;;;;
society_knights_hospitaller_desc;A Christian religious military order, the Order of Knights of the Hospital of Saint John of Jerusalem, are also known as the Knight Hospitaller.\nThe Knights, who have already protected and cared for sick pilgrims in Jerusalem for some time, now have the full weight of the [From.Religion.GetName] Church behind them. Pious [From.Religion.GetName] rulers may call on their support.;Un ordre religieux chrétien militaire, l'Ordre des Chevaliers de l'Hôpital de Saint-Jean de Jérusalem, est aussi connu sous le nom de L'Ordre de Saint-Jean de Jérusalem.\n Les Chevaliers, qui ont déjà protégé et soigné des pèlerins malades à Jérusalem depuis un certain temps, ont maintenant tout le poids de l'église de [From.Religion.GetName] derrière eux. Les pieux dirigeants de [From.Religion.GetName] peuvent faire appel à leur soutien.;;;;;;;;;;;;x;;;;;;;;;;;;;;;
society_knights_hospitaller_leader_desc;The Grand Master of the Knights Hospitaller.;Le Grand Maître de l'Ordre de Saint-Jean de Jérusalem.;;;;;;;;;;;;x;;;;;;;;;;;;;;;
society_knights_hospitaller_rank_1_female;Adjutante;Adjudant;;;;;;;;;;;;x;;;;;;;;;;;;;;;
society_knights_hospitaller_rank_2_female;Dame;Dame;;;;;;;;;;;;x;;;;;;;;;;;;;;;
society_knights_hospitaller_rank_3_female;Prioress;Prieure;;;;;;;;;;;;x;;;;;;;;;;;;;;;
society_knights_hospitaller_rank_4_female;Mother Superior;Mère Supérieure;;;;;;;;;;;;x;;;;;;;;;;;;;;;
society_knights_hospitaller_rank_1_male;Sergeant;Sergent;;;;;;;;;;;;x;;;;;;;;;;;;;;;
society_knights_hospitaller_rank_2_male;Knight;Chevalier;;;;;;;;;;;;x;;;;;;;;;;;;;;;
society_knights_hospitaller_rank_3_male;Prior;Prieur;;;;;;;;;;;;x;;;;;;;;;;;;;;;
society_knights_hospitaller_rank_4_male;Grand Master;Grand Maître;;;;;;;;;;;;x;;;;;;;;;;;;;;;
#teutonic_order;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
society_teutonic_order;The Teutonic Order;L'Ordre Teutonique;;;;;;;;;;;;x;;;;;;;;;;;;;;;
